ts_code,roe
600371.SH,3.8756
600373.SH,0.9769
600375.SH,0.3559
600376.SH,-8.2992
600377.SH,3.0957
600378.SH,1.073
600379.SH,2.4624
600380.SH,2.9869
600381.SH,0.86
600382.SH,1.9534
600386.SH,-0.458
600383.SH,-1.1207
600392.SH,1.8295
600389.SH,4.0976
600395.SH,-1.0052
600391.SH,0.2147
600388.SH,1.8018
600390.SH,0.3683
600396.SH,10.3495
600397.SH,-67.9542
600405.SH,-14.6383
600398.SH,5.3505
600399.SH,-1.991
600400.SH,-1.1937
600403.SH,-5.5976
600783.SH,-0.8368
600782.SH,0.0477
600785.SH,3.4955
600784.SH,2.492
600790.SH,0.4765
600787.SH,0.468
600789.SH,1.9864
600791.SH,-6.5851
600792.SH,-3.0749
600793.SH,6.9855
600794.SH,1.1733
600795.SH,3.1782
600797.SH,-0.9255
600796.SH,0.9267
600798.SH,-1.18
600800.SH,-10.0554
600801.SH,0.7698
600802.SH,-1.7893
600803.SH,4.054
600805.SH,0.3604
600807.SH,-35.9946
600808.SH,-0.6213
600810.SH,-0.2506
600809.SH,18.176
600812.SH,1.061
600814.SH,2.3549
600815.SH,0.0703
600818.SH,-0.5501
600816.SH,0.1912
600817.SH,2.0925
600819.SH,1.2284
600820.SH,0.9322
600821.SH,1.2863
600822.SH,0.5577
600824.SH,0.5639
600825.SH,0.0398
600826.SH,-0.5918
600827.SH,0.9752
600828.SH,0.2052
600829.SH,2.4877
600830.SH,1.0703
600831.SH,-7.4092
600833.SH,0.4165
600834.SH,0.5374
600835.SH,1.4729
600838.SH,0.8052
600839.SH,2.3283
600841.SH,-6.1574
600843.SH,-0.8478
600844.SH,-17.3682
600845.SH,3.7948
600847.SH,-1.6726
600846.SH,2.124
600850.SH,1.036
600848.SH,0.8987
600851.SH,0.7673
600853.SH,0.222
600857.SH,0.5941
600854.SH,0.1222
600855.SH,-2.6966
600858.SH,2.6945
600860.SH,-1.1032
600859.SH,0.2828
600861.SH,8.6526
600864.SH,0.9229
600865.SH,0.7155
600863.SH,4.0597
600862.SH,4.9268
600866.SH,5.8264
600868.SH,-0.7988
600869.SH,1.0692
600867.SH,1.6953
600871.SH,2.4695
600872.SH,3.1719
600873.SH,6.7854
600875.SH,2.9296
600876.SH,-3.1642
600874.SH,2.6006
600877.SH,0.5041
600879.SH,0.1436
600882.SH,1.8514
600883.SH,0.624
600880.SH,0.1946
600881.SH,-18.7453
600885.SH,9.9131
600884.SH,0.1534
600886.SH,3.1237
600887.SH,8.7415
600888.SH,1.99
600893.SH,0.0188
600892.SH,-14.2173
600889.SH,-13.4024
600894.SH,-0.1478
600895.SH,1.9314
600897.SH,5.5888
600906.SH,0.9841
600905.SH,2.7813
600900.SH,2.4317
600903.SH,2.2565
600901.SH,3.1479
600908.SH,2.6344
600909.SH,2.3168
600916.SH,1.7902
600925.SH,1.2576
600918.SH,0.8639
600927.SH,0.0726
600917.SH,-0.954
600919.SH,3.1854
600926.SH,4.2707
600928.SH,2.1221
600929.SH,0.9269
600930.SH,2.7298
600933.SH,3.072
600935.SH,-0.9425
600938.SH,4.7752
600939.SH,-0.5495
600936.SH,-35.846
600941.SH,6.1237
600955.SH,-1.9089
600956.SH,4.3029
600959.SH,0.4619
600958.SH,1.7503
600960.SH,0.0159
600961.SH,6.2474
600963.SH,0.5902
600962.SH,2.9601
600965.SH,1.1074
600966.SH,0.7819
600968.SH,2.1625
600967.SH,1.5954
600970.SH,3.0911
600969.SH,0.3047
600973.SH,0.6568
600971.SH,0.2194
600975.SH,0.6471
600977.SH,-1.2865
600976.SH,4.4241
600979.SH,0.4913
600980.SH,1.4806
600981.SH,-0.2715
600982.SH,0.9165
600983.SH,4.2403
600984.SH,-5.8201
600985.SH,1.6187
600986.SH,2.1343
600989.SH,5.5081
600988.SH,5.1395
600987.SH,2.1123
600992.SH,-1.5058
600990.SH,-1.1228
600996.SH,-9.1067
600993.SH,4.8845
600995.SH,1.7364
600999.SH,1.7632
600997.SH,0.4696
600998.SH,3.4967
601000.SH,1.8198
601001.SH,2.7226
601002.SH,1.369
601003.SH,3.0629
601005.SH,-0.7093
601006.SH,1.6059
601007.SH,0.4095
601008.SH,0.5558
601009.SH,3.206
601011.SH,-1.141
601010.SH,0.6736
601012.SH,-2.3873
601015.SH,-4.176
601016.SH,2.2066
601019.SH,2.14
601020.SH,1.3473
601018.SH,1.49
601022.SH,2.9826
601021.SH,3.8508
601033.SH,1.8569
601059.SH,0.8639
601038.SH,7.0394
601065.SH,1.6927
601061.SH,2.5688
601058.SH,5.19
601068.SH,0.9969
601066.SH,1.7407
601069.SH,0.7435
601083.SH,4.0574
